pack,files_read,files_total,gate_signals,gate_classes
infoway-support,45,45,29,"CHECKLIST POINTER|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES"
dsa-phase2,18,19,19,"CERTIFICATION|CHECKLIST POINTER|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES"
ie-9021973,15,15,19,"CHECKLIST POINTER|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES|TURNOVER"
ie-581670,15,15,13,"CERTIFICATION|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES|TURNOVER"
burnaby-csc,9,9,10,"CERTIFICATION|CHECKLIST POINTER|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES"
ie-8927804,8,8,29,"CERTIFICATION|CHECKLIST POINTER|GEOGRAPHY / DATA LOCATION|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES|TURNOVER"
oshawa-assets,5,5,7,"CERTIFICATION|CHECKLIST POINTER|FEE TO BID|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES"
saskatoon-rfi,4,4,3,"INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE"
qualicum-beach-search,8,8,18,"CERTIFICATION|CHECKLIST POINTER|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES"
nhs24-dxp,23,29,1,"CERTIFICATION"
ie-612907,5,5,3,"CHECKLIST POINTER|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE"
ie-568500,6,6,16,"CHECKLIST POINTER|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES|TURNOVER"
ie-619079,3,3,7,"INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES|TURNOVER"
eryc-rmp,11,11,10,"CERTIFICATION"
waters-of-life,2,2,10,"CHECKLIST POINTER|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES|TURNOVER"
tcdsb-p00127,2,2,0,""
lloyd-assetmap,2,2,2,"PASS/FAIL EVALUATION TABLE"
haliburton-recreg,1,1,0,""
cra-board-portal,4,4,11,"GEOGRAPHY / DATA LOCATION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES"
burnaby-noi,1,1,0,""
sturgeon-122,2,2,0,""
reddeer087,35,51,16,"CERTIFICATION|INSURANCE AT SUBMISSION|PASS/FAIL EVALUATION TABLE|REFEREES/CLIENT REFERENCES"
